,306 Gary Sanchez SP,
,307 Austin Hays SP,
,308 Whitey Herzog SP,
,309 Darryl Strawberry SP,
,310 Yoshi Tsutsugo SP,
,311 Jeimer Candelario SP,
,312 Bert Blyleven SP,
,313 George Kirby SP RC,
,314 Jason Varitek SP,
,315 John Mayberry SP,
,316 Kenley Jansen SP,
,317 Dallas Keuchel SP,
,318 Eric Hosmer SP,
,319 Jack Morris SP,
,320 Kevin Gausman SP,
,321 Luis Urias SP,
,322 Dave Concepcion SP,
,323 Jim Kaat SP,
,324 Sal Bando SP,
,325 Zack Wheeler SP,
,326 Rogers Hornsby SP,
,327 Bradley Zimmer SP,
,328 Scott Podsednik SP,
,329 J.P. Crawford SP,
,330 Brandon Nimmo SP,
,331 Nathaniel Lowe SP,
,332 Geoff Jenkins SP,N
,333 Steve Garvey SP,
,334 Ian Happ SP,
,335 Tyler Glasnow SP,
,336 Liam Hendriks SP,
,337 Juan Gonzalez SP,
,338 Sandy Alcantara SP,
,339 Ty France SP,
,340 Paul DeJong SP,
,341 Joe Carter SP,
,342 Luis Gonzalez SP,
,343 Dale Murphy SP,
,344 Lou Piniella SP,
,345 Torii Hunter SP,
,346 Victor Robles SP,
,347 Rick Sutcliffe SP,
,348 Martin Maldonado SP,
,349 Jeremy Pena SP RC,
,350 Nico Hoerner SP,
